cohort_month,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2017-01,1.0,0.00392156862745098,0.00261437908496732,0.00130718954248366,0.00392156862745098,0.00130718954248366,0.00522875816993464,0.00130718954248366,0.00130718954248366,0.0,0.00392156862745098,0.00130718954248366,0.00784313725490196,0.00392156862745098,0.00130718954248366,0.00130718954248366,0.00261437908496732,0.00392156862745098
2017-02,1.0,0.00228310502283105,0.0028538812785388126,0.001141552511415525,0.003995433789954338,0.001141552511415525,0.00228310502283105,0.0017123287671232876,0.0017123287671232876,0.00228310502283105,0.001141552511415525,0.0028538812785388126,0.0017123287671232876,0.0017123287671232876,0.001141552511415525,0.0005707762557077625,0.0005707762557077625,0.00228310502283105
2017-03,1.0,0.004931714719271623,0.0037936267071320183,0.0037936267071320183,0.0034142640364188165,0.0015174506828528073,0.0015174506828528073,0.0030349013657056147,0.0034142640364188165,0.0007587253414264037,0.0037936267071320183,0.0015174506828528073,0.002276176024279211,0.0011380880121396055,0.0015174506828528073,0.002276176024279211,0.0007587253414264037,0.0011380880121396055
2017-04,1.0,0.005949851253718657,0.0021249468763280916,0.0016999575010624734,0.003399915002124947,0.0025499362515937103,0.003399915002124947,0.0029749256268593286,0.0029749256268593286,0.0016999575010624734,0.0025499362515937103,0.0008499787505312367,0.0008499787505312367,0.00042498937526561835,0.0008499787505312367,0.0008499787505312367,0.0021249468763280916,
2017-05,1.0,0.005005561735261402,0.005005561735261402,0.00389321468298109,0.0030589543937708566,0.0033370411568409346,0.004171301446051168,0.0016685205784204673,0.002502780867630701,0.0030589543937708566,0.002502780867630701,0.0033370411568409346,0.002502780867630701,0.00027808676307007786,0.001946607341490545,0.001946607341490545,,
2017-06,1.0,0.004778591908251036,0.003504300732717426,0.00414144632048423,0.002548582351067219,0.003822873526600828,0.003822873526600828,0.0022300095571838167,0.0012742911755336094,0.0022300095571838167,0.0031857279388340237,0.003504300732717426,0.0015928639694170119,0.0012742911755336094,0.001911436763300414,,,
2017-07,1.0,0.005134788189987163,0.003594351732991014,0.0025673940949935813,0.0028241335044929395,0.0020539152759948653,0.0030808729139922978,0.0010269576379974327,0.001797175866495507,0.0025673940949935813,0.0023106546854942235,0.0030808729139922978,0.0012836970474967907,0.001797175866495507,,,,
2017-08,1.0,0.006931166347992352,0.0033460803059273425,0.0026290630975143404,0.0035850860420650094,0.005258126195028681,0.0028680688336520078,0.0026290630975143404,0.0014340344168260039,0.0014340344168260039,0.002390057361376673,0.0019120458891013384,0.0009560229445506692,,,,,
2017-09,1.0,0.006778019849915275,0.00532558702493343,0.002904865649963689,0.0045993706124425075,0.002178649237472767,0.002178649237472767,0.002420721374969741,0.002904865649963689,0.0019365770999757927,0.002662793512466715,0.0007262164124909223,,,,,,
2017-10,1.0,0.006935123042505592,0.0024608501118568234,0.0008948545861297539,0.0022371364653243847,0.0020134228187919465,0.0022371364653243847,0.0035794183445190158,0.0026845637583892616,0.0020134228187919465,0.0017897091722595079,,,,,,,
2017-11,1.0,0.0054757015742642025,0.0038329911019849418,0.001779603011635866,0.0019164955509924709,0.001779603011635866,0.0010951403148528405,0.0019164955509924709,0.0013689253935660506,0.0005475701574264203,,,,,,,,
2017-12,1.0,0.0025514853289593585,0.002733734281027884,0.0034627300893019866,0.002733734281027884,0.0020047384727537817,0.0016402405686167304,0.0005467468562055768,0.0016402405686167304,,,,,,,,,
2018-01,1.0,0.0034158838599487617,0.003842869342442357,0.002846569883290635,0.002846569883290635,0.0015656134358098491,0.0017079419299743809,0.0018502704241389126,,,,,,,,,,
2018-02,1.0,0.0038753681599751977,0.0038753681599751977,0.0029452798015811503,0.0026352503487831343,0.002170206169586111,0.0017051619903890869,,,,,,,,,,,
2018-03,1.0,0.004593741027849555,0.003158196956646569,0.002871088142405972,0.0012919896640826874,0.000717772035601493,,,,,,,,,,,,
2018-04,1.0,0.00581135449262405,0.0031291908806437194,0.0023841454328714052,0.000894054537326777,,,,,,,,,,,,,
2018-05,1.0,0.005283816425120773,0.002717391304347826,0.002113526570048309,,,,,,,,,,,,,,
2018-06,1.0,0.004208045783538125,0.00235650563878135,,,,,,,,,,,,,,,
2018-07,1.0,0.0057651128314939876,,,,,,,,,,,,,,,,
2018-08,1.0,,,,,,,,,,,,,,,,,
