,RMSE,MAE,MAPE
baseline,60.733482241485106,48.95333333333333,25.499368155587423
sarimax,66.99000073417122,54.73486990124256,29.44259990113853
prophet,66.3835241306443,53.60135893029705,28.576264276892953
xgboost,49.97795590541496,39.95384330749512,20.44888660217068
lightgbm,72.20926112000714,58.649104870924475,31.893391806087198
